Response ID,Response started,Response completed,RD1 - Please select the role most applicable to you:,RD2 - How many years of previous programming experience do you have?,RD3 - Do you have any prior experience with Programmable Logic Controllers?,RD4 - Which programming languages do you use to write code for Programmable Logic Controllers?,"W1 - Suppose the following automation task containing two switches and one motor, where to turn the motor ON, both switches must be ON. The possible states for the elements of this task can be described by the table and illustration below:     Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R1 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W2 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light bulb ON, at least one button must be OFF. The possible states for the elements of this task can be described by the table and illustration below:   Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R2 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W3 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light ON both buttons must be OFF. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R3 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W4 - Suppose the following automation task containing two buttons and one light bulb, where for the light to be ON, the two buttons must keep in the same state. The possible states for the elements of this task can be described by the table and illustration below:  Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R4 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W5 - Suppose the following automation task containing two switches and one sprinkler, where to turn the sprinkler ON, the two switches must be in opposite states. In other words, while one switch is ON, the other must be OFF to activate the sprinkler. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R5 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","Q1 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would like to use Ladder Logic frequently.]","Q2 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic unnecessarily complex.]","Q3 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought that Ladder Logic was easy to use.]","Q4 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would need assistance to be able to use Ladder Logic.]","Q5 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found the various functions in Ladder Logic were well integrated.]","Q6 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought there was too much inconsistency in Ladder Logic.]","Q7 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I would imagine that most people would learn to use Ladder Logic very quickly.]","Q8 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic very cumbersome/awkward to use.]","Q9 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I felt very confident using Ladder Logic.]","Q10 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I needed to learn a lot of things before I could get going with Ladder Logic.]",OQ - What is your opinion about Ladder Logic? Feel free to provide any thoughts about this language or click on the 'Submit' button to submit your answer.
WIBUfFR0,"Jun 16, 2020 08:40:59 PM","Jun 16, 2020 08:57:16 PM",Engineer,5+ Years,No experience,Ladder diagram (LD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,3,4,4,1,5,1,5,1,
3SBoDaHC,"Jun 16, 2020 09:15:18 PM","Jun 16, 2020 09:25:41 PM",,< 1 Year,< 1 Year,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,2,4,1,5,1,5,1,Simplest language i have ever learned.
DmCsCTeI,"Jun 16, 2020 09:52:05 PM","Jun 16, 2020 10:07:08 PM",Engineer,5+ Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,3,2,5,1,5,1,
SzChE9Ut,"Jun 16, 2020 10:00:43 PM","Jun 16, 2020 10:29:13 PM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,5,5,1,4,4,5,5,5,1,"Ladder logic is best for the beginners to learn & understand PLC programming. It is difficult to build more complex PLC programming logic using Ladder concept. For understanding simple programs like turning motor/lights, Ladder is ok but when we get into complex logics of process control or some complex solution building logics, LD is an cumbersome & time consuming. Program length also increases due to limitations in the NO/NC contacts in each rung, then in this case we need to do cascading of Rungs(this increases program length). If program length is more & cannot be seen in one single page like FBD, then troubleshooting problem is difficult & time consuming."
cJzV65jr,"Jun 16, 2020 10:10:26 PM","Jun 16, 2020 10:34:25 PM",Other,5+ Years,3-5 Years,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,3,4,1,4,1,4,2,4,3,"Ladder logic should be used for less complex solution in automation. In this case is clear, readable and simple."
0VzGiUJS,"Jun 16, 2020 10:13:41 PM","Jun 16, 2020 10:36:02 PM",Engineer,5+ Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,4,1,3,1,4,1,5,3,
XOCsG8Zn,"Jun 16, 2020 10:22:11 PM","Jun 16, 2020 11:36:42 PM",Software Developer,5+ Years,No experience,No experience,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,5,1,3,1,5,1,"If you are familiar with logic (and/or/xor/...) this is easy, on the other hand not everyone finds logic easy. I do not have prior experience in ladder logic, but I recognize it all from working with digital gates."
29zNCajo,"Jun 16, 2020 10:32:23 PM","Jun 17, 2020 04:12:58 AM",Engineer,No programming experience,No experience,No experience,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"3 - Correct structure and labels, wrong symbols",Water Pump will be turned ON when the Button is OFF and the Water Level Detector is ON.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"3 - Correct structure and labels, wrong symbols","Alarm will only be turned ON when the three input elements are OFF at the same time: Smoke Detector, Carbon Monoxide Detector and Test Button.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,4,4,4,3,5,2,3,3,"I think it is very interesting. 
Good to learn."
arCNA3tG,"Jun 16, 2020 10:35:06 PM","Jun 16, 2020 11:01:22 PM",Engineer,< 1 Year,No experience,,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,1,5,1,4,1,4,1,5,1,
aiB3kJ0J,"Jun 16, 2020 10:56:45 PM","Jun 16, 2020 11:29:47 PM",Other,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"7 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"6 - Wrong structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,1,5,2,,1,4,1,5,2,"It is a good programming language for machinery automation control and also can be used for factory automation.

Function block is good for process automation

SFC is good for sequential startup and shutdown and also can be used for batch process

ST is used for simply the calculations."
LTChzJmY,"Jun 16, 2020 10:57:09 PM","Jun 16, 2020 11:19:48 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,4,2,2,2,3,3,4,4,2,I believe more complex functions are way too crowded/complex in Ladder Logic and too difficult to analyze for programming errors.
5IB3mufp,"Jun 16, 2020 11:07:24 PM","Jun 16, 2020 11:29:36 PM",,1-2 Years,1-2 Years,"Ladder diagram (LD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,2,5,1,5,3,5,4,from my point of view ladder diagram is the simplest method for learning PLC
ASBU42sl,"Jun 16, 2020 11:08:06 PM","Jun 17, 2020 12:44:40 AM",Software Developer,3-5 Years,3-5 Years,Structured text (ST),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,4,1,1,3,4,5,4,1,"Engineer should use ""The right tool for the right job"". Ladder has its advantages but my personal opinion is that it should be removed from IEC. Number 1 reason for engineers using it is: Electricians have trouble reading other kinds of code. Why, untrained people are able to look and modify the code they dont understand.
Also, I think all graphical languages should be abolished as they give little to no value for the development of complex systems. Tools for these languages do not exist. I use ST as I can write practically whatever I want, have a structure and a nice architecture. I can build my own tools to write and analyze the code as it is just text. Im not saying ST is good either, its the best out of all IEC languages. But in the long run, it too is stuck in the 90s."
feChOnEC,"Jun 16, 2020 11:10:38 PM","Jun 16, 2020 11:23:56 PM",Technician,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,1,5,1,4,1,5,1,5,1,Suits well to less complex tasks.
DGChEJgk,"Jun 17, 2020 12:21:47 AM","Jun 17, 2020 01:05:54 AM",Engineer,No programming experience,No experience,No experience,"6 - Wrong structure, symbols and labels",Light will be turned ON when at least Button A or Button B is OFF.,"3 - Correct structure and labels, wrong symbols",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"3 - Correct structure and labels, wrong symbols",Light will be turned ON when Button A and Button B have the same state (ON and ON or OFF and OFF),"3 - Correct structure and labels, wrong symbols","Alarm will only be turned ON when the three input elements are OFF at the same time: Smoke Detector, Carbon Monoxide Detector and Test Button.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button and Stop Button are OFF, or when the Heat Sensor is ON.",1,3,3,5,4,3,2,2,1,5,
x3CsRlkq,"Jun 17, 2020 01:19:38 AM","Jun 17, 2020 01:49:33 AM",Engineer,5+ Years,5+ Years,Function block diagram (FBD),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,1,1,1,4,1,5,1,3,1,Even though it is not difficult but I still prefer FB or structure text.
TOChWYQq,"Jun 17, 2020 01:29:14 AM","Jun 17, 2020 01:49:03 AM",Other,5+ Years,5+ Years,Instruction list (IL),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"2 - Correct structure and symbols, wrong labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,5,1,3,1,4,3,5,2,"I am old a old fashion programmer (started in 1979) and miss if, else and then functionality: this means ladder logic needs a lot of work for rehearsable functionality"
IoBoTQHh,"Jun 17, 2020 01:40:26 AM","Jun 17, 2020 01:49:45 AM",Engineer,5+ Years,1-2 Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,4,1,4,2,4,2,4,2,"Ladder Logic is an way for simple programming tasks in PLC's. however when more complex functionality is needed, ladder logic will not able to cope with it and other means of programming will need to be used"
rhCsxvlr,"Jun 17, 2020 02:35:59 AM","Jun 17, 2020 03:23:43 AM",Engineer,1-2 Years,< 1 Year,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,3,4,3,4,1,4,2,4,2,It is a matter of experiance.
oXCNSM43,"Jun 17, 2020 02:56:29 AM","Jun 17, 2020 03:16:53 AM",Engineer,,,,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"3 - Correct structure and labels, wrong symbols",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON only when Button A is ON and button B is OFF.,"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,2,3,2,2,4,2,,3,
N4CNVveQ,"Jun 17, 2020 04:33:47 AM","Jun 17, 2020 04:53:37 AM",Software Developer,5+ Years,5+ Years,Structured text (ST),"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"3 - Correct structure and labels, wrong symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,1,5,1,2,1,5,2,5,1,"Usable language if in need for simple software that e.g. electricians etc. needs to understand on-site and rather quickly. Lights on, off, pump run stop etc.
Usability in more complex softwares isn't that good as even with simple functions one ends up with huge number of ladders which makes the general view of the code more challanging.
Suites to specific purposes."
QrBogpP5,"Jun 17, 2020 07:06:36 AM","Jun 17, 2020 07:32:10 AM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,4,1,2,2,2,4,5,1,"Ladder logic is very popular as a programming language for older systems, it's also very well understood for older people that has worked with relay logic. It's however hard to grasp at the beginning for younger engineers that have grown up with programmable electronic systems and generated some resistance that needs to be overcome. Ladder logic has some major issues being that it's hard to design and understand complex logics and becomes too difficult to follow for logic functions that interact between each other."
5aBUx8Ay,"Jun 17, 2020 10:38:06 AM","Jun 17, 2020 11:33:19 AM",Engineer,No programming experience,No experience,No experience,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,5,1,5,1,5,2,It is very simple method for complex programming and very easy to understand.
AgCNNQY6,"Jun 17, 2020 10:12:56 PM","Jun 18, 2020 01:43:57 AM",Engineer,1-2 Years,< 1 Year,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,3,4,3,3,3,4,3,3,2,
KSBUe1Gk,"Jun 18, 2020 02:38:51 AM","Jun 18, 2020 03:01:09 AM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"3 - Correct structure and labels, wrong symbols","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,1,5,1,5,1,1,1,
PxCCaRaF,"Jun 18, 2020 05:35:13 AM","Jun 18, 2020 06:17:46 AM",Engineer,No programming experience,No experience,,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,2,5,1,5,1,5,3,
HVbuQmLq,"Jun 18, 2020 06:29:04 AM","Jun 18, 2020 06:57:00 AM",Software Developer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,4,1,1,3,4,4,4,1,Ladder logic was designed to get electricians to learn PLC-programming in an easy way. It is a simple language for making simple things. When you want to make code that is not simple it gets to complicated to program. Then it is better to go for Structured text or function blocks. Looking at PLC manufacturers they actually allow you to put functionblocks into the ladder code to facilitate advanced coding in ladder. In the old days automation was made with relays. You could find quite amaizing functions made up of only relays. To day everything is built in PLC-code. There is no actual argument of keeping ladder-programming alive. Only for historical reasons.
XzChUKE7,"Jun 18, 2020 01:41:21 PM","Jun 18, 2020 02:05:45 PM",Engineer,3-5 Years,No experience,No experience,"1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"2 - Correct structure and symbols, wrong labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,4,2,4,2,2,2,2,4,"I grew up using structured text (FORTRAN, KAREL, BASIC) languages and have little experience with Ladder Logic.  While I could become proficient in Ladder Logic I would prefer srtuctured text."
7RCNRhHk,"Jun 18, 2020 01:41:58 PM","Jun 18, 2020 01:54:44 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,4,1,3,1,3,4,5,1,
NrCh55lO,"Jun 18, 2020 01:47:17 PM","Jun 18, 2020 02:05:17 PM",Other,No programming experience,No experience,No experience,"5 - Wrong structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"3 - Correct structure and labels, wrong symbols",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON only when Button A and Button B are OFF.,"8 - Wrong structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,4,2,3,3,3,4,4,2,1,"I don’t get what I would use it for, as it doesn’t have anything to do with my work.  Also the presentation was very dull.  It was hard to pay attention."
